payment_id,gateway,customer_name,amount,fee,net_amount,currency,payment_date,reference,payment_status
PAY043,PayU,Lenskart Solutions Private Limited,35000,630.0,34370.0,INR,2026-08-09,REF043,SUCCESS
PAY044,PayU,Pharmeasy API Holdings Limited,62000,1116.0,60884.0,INR,2026-08-10,REF044,SUCCESS
PAY045,Stripe,Tata Digital Private Limited,24000,600.0,23400.0,INR,2026-08-17,REF045,SUCCESS
PAY046,Razorpay,Jio Platforms Limited,150000,3000.0,147000.0,INR,2026-08-11,REF046,SUCCESS
PAY047,PayU,Airtel Digital Limited,75000,1350.0,73650.0,INR,2026-08-14,REF047,SUCCESS
PAY048,PayU,Vodafone Idea Enterprise Solutions,150000,2700.0,147300.0,INR,2026-08-16,REF048,SUCCESS
PAY049,Razorpay,ITC Infotech India Limited,75000,1500.0,73500.0,INR,2026-08-09,REF049,SUCCESS
PAY050,Razorpay,Cognizant Technology Solutions Ltd,75000,1500.0,73500.0,INR,2026-08-17,REF050,SUCCESS
PAY051,Razorpay,ABC Private Limited,12500,250.0,12250.0,INR,2026-08-07,REF051,SUCCESS
PAY052,Razorpay,Ravi Enterprises Private Limited,24000,480.0,23520.0,INR,2026-08-14,REF052,SUCCESS
PAY053,Razorpay,Apex Global Technologies Pvt Ltd,150000,3000.0,147000.0,INR,2026-08-14,REF053,SUCCESS
PAY054,Stripe,Zenith Logistics Solutions Limited,115000,2875.0,112125.0,INR,2026-08-10,REF054,SUCCESS
PAY055,Stripe,Tata Consultancy Services Limited,150000,3750.0,146250.0,INR,2026-08-17,REF055,SUCCESS
PAY056,PayU,Infosys BPM Private Limited,48000,864.0,47136.0,INR,2026-08-18,REF056,SUCCESS
PAY057,Stripe,Reliance Retail Ventures Limited,48000,1200.0,46800.0,INR,2026-08-14,REF057,SUCCESS
PAY058,Stripe,Mahindra Logistics Solutions Ltd,75000,1875.0,73125.0,INR,2026-08-11,REF058,SUCCESS
PAY059,Razorpay,Larsen and Toubro Infotech Ltd,24000,480.0,23520.0,INR,2026-08-05,REF059,SUCCESS
PAY060,PayU,Wipro Digital Solutions Pvt Ltd,75000,1350.0,73650.0,INR,2026-08-04,REF060,SUCCESS
PAY061,Razorpay,HCL Technologies India Pvt Ltd,48000,960.0,47040.0,INR,2026-08-11,REF061,SUCCESS
PAY062,Razorpay,Bharat Heavy Electricals Limited,24000,480.0,23520.0,INR,2026-08-15,REF062,SUCCESS
PAY063,Stripe,Sun Pharmaceutical Industries Ltd,48000,1200.0,46800.0,INR,2026-08-03,REF063,SUCCESS
PAY064,Stripe,Godrej Consumer Products Limited,24000,600.0,23400.0,INR,2026-08-10,REF064,SUCCESS
PAY065,Razorpay,Adani Ports and SEZ Private Limited,115000,2300.0,112700.0,INR,2026-08-07,REF065,SUCCESS
PAY066,PayU,ABC Pvt Ltd,142000,2840.0,139160.0,INR,2026-08-20,REF066,SUCCESS
PAY067,Stripe,Ravi Enterprises,78000,1560.0,76440.0,INR,2026-08-08,REF067,SUCCESS
PAY068,PayU,Apex Global Tech Ltd,32000,640.0,31360.0,INR,2026-08-05,REF068,SUCCESS
PAY069,Stripe,Zenith Logistics Ltd,78000,1560.0,76440.0,INR,2026-08-10,REF069,SUCCESS
PAY070,Razorpay,Tata Consultancy Services,78000,1560.0,76440.0,INR,2026-08-19,REF070,SUCCESS
PAY071,Razorpay,Infosys BPM,142000,2840.0,139160.0,INR,2026-08-16,REF071,SUCCESS
PAY072,Stripe,Reliance Retail,18000,360.0,17640.0,INR,2026-08-12,REF072,SUCCESS
PAY073,Razorpay,Mahindra Logistics,18000,360.0,17640.0,INR,2026-08-07,REF073,SUCCESS
PAY074,Stripe,L&T Infotech Ltd,96000,1920.0,94080.0,INR,2026-08-11,REF074,SUCCESS
PAY075,Razorpay,Wipro Digital Solutions,32000,640.0,31360.0,INR,2026-08-09,REF075,SUCCESS
PAY076,Razorpay,HCL Technologies,18000,360.0,17640.0,INR,2026-08-13,REF076,SUCCESS
PAY077,Razorpay,Sun Pharma Ltd,18000,360.0,17640.0,INR,2026-08-16,REF077,SUCCESS
PAY078,Razorpay,Godrej Consumer,18000,360.0,17640.0,INR,2026-08-18,REF078,SUCCESS
PAY079,Razorpay,Adani Ports Ltd,78000,1560.0,76440.0,INR,2026-08-12,REF079,SUCCESS
PAY080,Razorpay,Bajaj Finserv Direct,78000,1560.0,76440.0,INR,2026-08-18,REF080,SUCCESS
PAY081,Stripe,MakeMyTrip India Private Limited,88000,1760.0,86240.0,INR,2026-09-02,REF081,SUCCESS
PAY082,PayU,Ola ANI Technologies Private Limited,88000,1760.0,86240.0,INR,2026-09-05,REF082,SUCCESS
PAY083,Razorpay,PayU Payments Private Limited,130000,2600.0,127400.0,INR,2026-09-10,REF083,SUCCESS
PAY084,Razorpay,CRED Dreamplug Technologies Ltd,42000,840.0,41160.0,INR,2026-08-29,REF084,SUCCESS
PAY085,PayU,Groww Nextbillion Technology Ltd,130000,2600.0,127400.0,INR,2026-08-27,REF085,SUCCESS
PAY086,PayU,Zerodha Broking Limited,68000,1360.0,66640.0,INR,2026-08-22,REF086,SUCCESS
PAY087,Razorpay,BigBasket Supermarket Grocery Ltd,88000,1760.0,86240.0,INR,2026-08-30,REF087,SUCCESS
PAY088,Razorpay,Blinkit Commerce Private Limited,130000,2600.0,127400.0,INR,2026-08-26,REF088,SUCCESS
PAY089,Stripe,Dunzo Digital Private Limited,130000,2600.0,127400.0,INR,2026-08-28,REF089,SUCCESS
PAY090,PayU,Meesho Fashnear Technologies Ltd,25000,500.0,24500.0,INR,2026-09-01,REF090,SUCCESS
PAY091,PayU,Cars24 Services Private Limited,19500.0,390.0,19110.0,INR,2026-08-14,REF091,SUCCESS
PAY092,PayU,Spinny Valuedrive Technologies Ltd,44100.0,882.0,43218.0,INR,2026-08-09,REF092,SUCCESS
PAY093,Stripe,Lenskart Solutions Private Limited,15000.0,300.0,14700.0,INR,2026-08-16,REF093,SUCCESS
PAY094,Razorpay,Pharmeasy API Holdings Limited,80000.0,1600.0,78400.0,INR,2026-08-10,REF094,SUCCESS
PAY095,Razorpay,Tata Digital Private Limited,35000.0,700.0,34300.0,INR,2026-08-12,REF095,SUCCESS
PAY096,Stripe,Jio Platforms Limited,11000.0,220.0,10780.0,INR,2026-08-17,REF096,SUCCESS
PAY097,Razorpay,Airtel Digital Limited,66150.0,1323.0,64827.0,INR,2026-08-10,REF097,SUCCESS
PAY098,Razorpay,Vodafone Idea Enterprise Solutions,28500.0,570.0,27930.0,INR,2026-08-12,REF098,SUCCESS
PAY099,PayU,ITC Infotech India Limited,112000,2240.0,109760.0,INR,2026-08-09,REF099,SUCCESS
PAY100,Stripe,Cognizant Technology Solutions Ltd,74000,1480.0,72520.0,INR,2026-08-08,REF100,SUCCESS
PAY101,Razorpay,ABC Private Limited,35000,700.0,34300.0,INR,2026-08-20,REF101,SUCCESS
PAY102,Razorpay,Ravi Enterprises Private Limited,74000,1480.0,72520.0,INR,2026-08-10,REF102,SUCCESS
PAY103,PayU,Apex Global Technologies Pvt Ltd,91000,1820.0,89180.0,INR,2026-08-19,REF103,SUCCESS
PAY104,PayU,Larsen and Toubro Infotech Ltd,50000.0,1180.0,48820.0,INR,2026-08-09,REF109,SUCCESS
PAY105,Razorpay,Wipro Digital Solutions Pvt Ltd,75000.0,1770.0,73230.0,INR,2026-08-16,REF110,SUCCESS
PAY106,Stripe,HCL Technologies India Pvt Ltd,100000.0,2360.0,97640.0,INR,2026-08-12,REF111,SUCCESS
PAY107,Razorpay,Bharat Heavy Electricals Limited,32000.0,755.2,31244.8,INR,2026-08-17,REF112,SUCCESS
PAY108,Razorpay,Zomato Media Private Limited,25000.0,500.0,24500.0,INR,2026-08-14,GENERIC_TRANSFER,SUCCESS
PAY109,Razorpay,Zomato Media Private Limited,25000.0,500.0,24500.0,INR,2026-08-14,GENERIC_TRANSFER,SUCCESS
PAY110,Razorpay,Freshworks Technologies Pvt Ltd,48000.0,960.0,47040.0,INR,2026-08-14,GENERIC_TRANSFER,SUCCESS
PAY111,Razorpay,Freshworks Technologies Pvt Ltd,48000.0,960.0,47040.0,INR,2026-08-14,GENERIC_TRANSFER,SUCCESS
PAY112,Stripe,Tech Mahindra Solutions Limited,38000.0,760.0,37240.0,INR,2026-08-20,REF711_TYPO,SUCCESS
PAY113,PayU,Zomato Media Private Limited,64000.0,1280.0,62720.0,INR,2026-08-12,REF811_ERR,SUCCESS
PAY114,Stripe,Swiggy Bundl Technologies Pvt Ltd,100200.0,2004.0,98196.0,INR,2026-08-21,REF119,SUCCESS
PAY115,Razorpay,Flipkart Internet Private Limited,138000.0,2760.0,135240.0,INR,2026-08-15,REF120,SUCCESS
